GO_ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Direction,GO_Description,GO_Category,Ontology,Dataset
GO:0016070,GO:0016070,16/6228,84/100553,0.19047619047619047,3.075297427898584,4.889452176415567,5.1747957431896945e-5,5.32613410926411e-4,3.823285037669447e-4,TraesCS2A03G0591800.1/TraesCS2A03G0591800.2/TraesCS2A03G1039800.1/TraesCS2B03G1160500.1/TraesCS2D03G0977900.1/TraesCS3A03G1175300.1/TraesCS5A03G0887500.1/TraesCS5B03G0934300.1/TraesCS5D03G0849500.1/TraesCS7A03G0647100.1/TraesCS7A03G0756700.1/TraesCS7B03G0472800.1/TraesCS7B03G0586900.1/TraesCS7D03G0595300.1/TraesCS7D03G0626900.1/TraesCS7D03G0727900.1,16,Down,RNA metabolic process,biological_process,BP,SN15_vs_Tween
GO:0006415,GO:0006415,11/6228,44/100553,0.25,4.036327874116892,5.176411344771093,5.788022866084658e-5,5.901619576540525e-4,4.2363886004594055e-4,TraesCS1A03G0608100.2/TraesCS1A03G0608100.1/TraesCS2B03G0576900.1/TraesCS2B03G0576900.2/TraesCS2D03G0465000.1/TraesCS3A03G0945900.1/TraesCS3D03G0879200.1/TraesCS4D03G0304400.1/TraesCS4D03G0304400.2/TraesCSU03G0295800.1/TraesCSU03G0295800.2,11,Down,translational termination,biological_process,BP,SN15_vs_Tween
GO:0031564,GO:0031564,4/6228,5/100553,0.8,12.916249197174054,6.846902007764104,6.987706461794627e-5,7.05887754612772e-4,5.067108779313063e-4,TraesCS4D03G0022600.1/TraesCS4B03G0032300.1/TraesCS5A03G1142900.1/TraesCS5B03G1215400.1,4,Down,transcription antitermination,biological_process,BP,SN15_vs_Tween
GO:0016226,GO:0016226,18/6228,105/100553,0.17142857142857143,2.767767685108726,4.6569914957532506,7.768822792825765e-5,7.775950153186156e-4,5.58184853487433e-4,TraesCS3A03G0719400.7/TraesCS3A03G0719400.5/TraesCS3A03G0719400.6/TraesCS3A03G0719400.4/TraesCS3A03G0719400.2/TraesCS3A03G0719400.3/TraesCS3A03G0719400.1/TraesCS3B03G0825100.1/TraesCS3B03G0825100.4/TraesCS3B03G0825100.3/TraesCS3B03G0825100.2/TraesCS3D03G0662700.3/TraesCS3D03G0662700.4/TraesCS3D03G0662700.2/TraesCS3D03G0662700.1/TraesCS7A03G1043100.1/TraesCS7B03G0883500.1/TraesCS7D03G0995800.1,18,Down,iron-sulfur cluster assembly,biological_process,BP,SN15_vs_Tween
GO:0016209,GO:0016209,11/6228,46/100553,0.2391304347826087,3.86083535785094,4.986891015260636,8.976177329318328e-5,8.72634008612546e-4,6.264071613755938e-4,TraesCS2B03G0312500.1/TraesCS2A03G0741400.1/TraesCS2B03G0817900.1/TraesCS2D03G0232400.1/TraesCS2D03G0683800.1/TraesCS2D03G0683800.2/TraesCS6A03G0416600.1/TraesCS6D03G0353400.1/TraesCS7A03G0377600.1/TraesCS7B03G0176400.1/TraesCS7B03G0176400.2,11,Down,antioxidant activity,molecular_function,MF,SN15_vs_Tween
GO:0070161,GO:0070161,7/6228,19/100553,0.3684210526315789,5.948272656593313,5.542812564198009,9.038280749149193e-5,8.72634008612546e-4,6.264071613755938e-4,TraesCS2A03G0934800.1/TraesCS2B03G0385800.1/TraesCS2B03G1029100.2/TraesCS2B03G1029100.1/TraesCS2B03G1029100.3/TraesCS2D03G0288100.1/TraesCS7B03G0287400.1,7,Down,anchoring junction,cellular_component,CC,SN15_vs_Tween
GO:0080183,GO:0080183,7/6228,19/100553,0.3684210526315789,5.948272656593313,5.542812564198009,9.038280749149193e-5,8.72634008612546e-4,6.264071613755938e-4,TraesCS3A03G0788000.2/TraesCS3A03G0788000.1/TraesCS3A03G0788000.3/TraesCS3B03G0909500.2/TraesCS3B03G0909500.1/TraesCS3D03G0728200.2/TraesCS3D03G0728200.1,7,Down,response to photooxidative stress,biological_process,BP,SN15_vs_Tween
GO:0141152,GO:0141152,7/6228,19/100553,0.3684210526315789,5.948272656593313,5.542812564198009,9.038280749149193e-5,8.72634008612546e-4,6.264071613755938e-4,TraesCSU03G0049800.3/TraesCSU03G0049800.1/TraesCSU03G0049800.2/TraesCS3A03G1237000.2/TraesCS3A03G1237000.1/TraesCS3B03G1297600.1/TraesCS3A03G1120800.1,7,Down,glycerol-3-phosphate dehydrogenase (NAD+) activity,molecular_function,MF,SN15_vs_Tween
GO:0004659,GO:0004659,16/6228,88/100553,0.18181818181818182,2.935511181175921,4.667516672436362,9.271023123217768e-5,8.872531778447881e-4,6.369013115119132e-4,TraesCS1A03G0884800.1/TraesCS1A03G0884800.2/TraesCS1B03G1034700.1/TraesCS2A03G1168200.1/TraesCS2B03G1326200.1/TraesCS2D03G1118600.1/TraesCS4B03G0642200.2/TraesCS4B03G0642200.1/TraesCS3B03G0735500.2/TraesCS3B03G0735500.1/TraesCS4A03G1008500.2/TraesCS4A03G1008500.1/TraesCS4B03G0798600.1/TraesCS7A03G1239900.2/TraesCS7A03G1239900.1/TraesCS7D03G0283400.1,16,Down,prenyltransferase activity,molecular_function,MF,SN15_vs_Tween
GO:0009739,GO:0009739,12/6228,54/100553,0.2222222222222222,3.587846999215014,4.887771079601771,9.362528666010226e-5,8.882190238797528e-4,6.375946295205134e-4,TraesCS1B03G0803000.1/TraesCS3A03G0560900.1/TraesCS3A03G0872300.1/TraesCS3B03G0642900.1/TraesCS3B03G0996000.1/TraesCS3D03G0104000.1/TraesCS3D03G0519300.2/TraesCS3D03G0519300.1/TraesCS3D03G0798700.1/TraesCS6A03G0862100.1/TraesCS6B03G1033500.1/TraesCS6D03G0732000.1,12,Down,response to gibberellin,biological_process,BP,SN15_vs_Tween
