GO_ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Direction,GO_Description,GO_Category,Ontology,Dataset
GO:0005507,GO:0005507,8/410,272/100553,0.029411764705882353,7.2132711621233865,6.565569726167606,1.8756265444110063e-5,1.5902051137397662e-4,9.785877623013946e-5,TraesCS3D03G0795900.1/TraesCS5A03G0702800.1/TraesCS5A03G0703000.1/TraesCS5B03G0740200.1/TraesCS6D03G0675000.1/TraesCS7B03G0214300.1/TraesCS7B03G0215200.1/TraesCS7B03G0215200.2,8,Down,copper ion binding,molecular_function,MF,3KO_vs_SN15
GO:0052716,GO:0052716,5/410,88/100553,0.056818181818181816,13.934728381374722,7.767267125939073,3.26303592506058e-5,2.651216689111721e-4,1.63151796253029e-4,TraesCS3D03G0795900.1/TraesCS6D03G0675000.1/TraesCS7B03G0214300.1/TraesCS7B03G0215200.1/TraesCS7B03G0215200.2,5,Down,hydroquinone:oxygen oxidoreductase activity,molecular_function,MF,3KO_vs_SN15
GO:0006396,GO:0006396,9/410,399/100553,0.022556390977443608,5.531982395011919,5.8038676279220764,4.563659011833467e-5,3.559654029230104e-4,2.1905563256800645e-4,TraesCS7A03G0676500.6/TraesCS7A03G0676500.3/TraesCS7A03G0676500.2/TraesCS7A03G0676500.5/TraesCS7A03G0676500.4/TraesCS7A03G0676500.1/TraesCS7D03G0653300.3/TraesCS7D03G0653300.2/TraesCS7D03G0653300.1,9,Down,RNA processing,biological_process,BP,3KO_vs_SN15
GO:0001786,GO:0001786,2/410,3/100553,0.6666666666666666,163.50081300813008,18.00951901937843,4.9621087063997286e-5,3.7215815297997963e-4,2.2902040183383362e-4,TraesCS3B03G1323800.1/TraesCS3D03G1058700.1,2,Down,phosphatidylserine binding,molecular_function,MF,3KO_vs_SN15
GO:0016042,GO:0016042,9/410,410/100553,0.02195121951219512,5.383563355145746,5.690964854903864,5.6197395120444654e-5,4.0587007586987805e-4,2.4976620053530956e-4,TraesCS1A03G0676700.1/TraesCS1B03G0769100.2/TraesCS1B03G0769100.1/TraesCS3A03G1171500.1/TraesCS3B03G1402800.1/TraesCS3D03G1115200.1/TraesCS6B03G0964200.1/TraesCS7B03G1258000.2/TraesCS7B03G1258000.1,9,Down,lipid catabolic process,biological_process,BP,3KO_vs_SN15
GO:0046274,GO:0046274,5/410,100/100553,0.05,12.262560975609757,7.209957186131939,6.024847073226336e-5,4.195875640282627e-4,2.5820773170970014e-4,TraesCS3D03G0795900.1/TraesCS6D03G0675000.1/TraesCS7B03G0214300.1/TraesCS7B03G0215200.1/TraesCS7B03G0215200.2,5,Down,lignin catabolic process,biological_process,BP,3KO_vs_SN15
GO:0030983,GO:0030983,4/410,58/100553,0.06896551724137931,16.913877207737595,7.757017271792907,9.71024328864183e-5,6.529301521672955e-4,4.0180317056448956e-4,TraesCS6A03G0559000.1/TraesCS6A03G0559000.4/TraesCS6A03G0559000.2/TraesCS6A03G0559000.3,4,Down,mismatched DNA binding,molecular_function,MF,3KO_vs_SN15
GO:0006298,GO:0006298,4/410,59/100553,0.06779661016949153,16.62720132286069,7.6827045615308975,1.038303004225943e-4,6.74896952746863e-4,4.1532120169037725e-4,TraesCS6A03G0559000.1/TraesCS6A03G0559000.4/TraesCS6A03G0559000.2/TraesCS6A03G0559000.3,4,Down,mismatch repair,biological_process,BP,3KO_vs_SN15
GO:0051213,GO:0051213,8/410,391/100553,0.020460358056265986,5.017927764955399,5.093496307859553,2.3240129335895334e-4,0.0014618791033869645,8.996179097765936e-4,TraesCS2D03G0054900.1/TraesCS2D03G0054900.2/TraesCS2D03G0055200.1/TraesCS2D03G0055200.2/TraesCS5B03G0957600.1/TraesCS5D03G0028900.1/TraesCS5D03G0868300.1/TraesCS6B03G0405500.1,8,Down,dioxygenase activity,molecular_function,MF,3KO_vs_SN15
GO:0034440,GO:0034440,4/410,74/100553,0.05405405405405406,13.256822676334872,6.748901614833422,2.501607726110752e-4,0.0015244172080987395,9.381028972915321e-4,TraesCS5B03G0957600.1/TraesCS5D03G0028900.1/TraesCS5D03G0868300.1/TraesCS6B03G0405500.1,4,Down,lipid oxidation,biological_process,BP,3KO_vs_SN15
GO:0030570,GO:0030570,3/410,32/100553,0.09375,22.992301829268293,7.9614883230615225,3.056958873480738e-4,0.0018063847888749815,0.0011116214085384502,TraesCS2D03G0034000.2/TraesCS2D03G0034000.1/TraesCS2D03G0034000.3,3,Down,pectate lyase activity,molecular_function,MF,3KO_vs_SN15
GO:0040029,GO:0040029,3/410,33/100553,0.09090909090909091,22.295565410199558,7.828830521352615,3.352504749604338e-4,0.0019227600769789587,0.00118323697044859,TraesCS6D03G0598200.2/TraesCS6D03G0598200.1/TraesCS6D03G0598200.3,3,Down,epigenetic regulation of gene expression,biological_process,BP,3KO_vs_SN15
GO:0006537,GO:0006537,2/410,9/100553,0.2222222222222222,54.50027100271002,10.270134786263366,5.858647030913183e-4,0.0031734338084113078,0.001952882343637728,TraesCS2A03G0267400.1/TraesCS2A03G0267400.2,2,Down,glutamate biosynthetic process,biological_process,BP,3KO_vs_SN15
GO:0015930,GO:0015930,2/410,9/100553,0.2222222222222222,54.50027100271002,10.270134786263366,5.858647030913183e-4,0.0031734338084113078,0.001952882343637728,TraesCS2A03G0267400.1/TraesCS2A03G0267400.2,2,Down,glutamate synthase activity,molecular_function,MF,3KO_vs_SN15
GO:0031347,GO:0031347,3/410,48/100553,0.0625,15.328201219512195,6.35324265293525,0.0010157322833735892,0.005353183655617565,0.0032942668649954244,TraesCS7B03G0283200.1/TraesCS7B03G0284300.1/TraesCS7D03G0457300.1,3,Down,regulation of defense response,biological_process,BP,3KO_vs_SN15
GO:0016638,GO:0016638,2/410,15/100553,0.13333333333333333,32.70016260162601,7.856316747956403,0.001681311011623904,0.00862778019122793,0.005309403194601802,TraesCS2A03G0267400.1/TraesCS2A03G0267400.2,2,Down,"oxidoreductase activity, acting on the CH-NH2 group of donors",molecular_function,MF,3KO_vs_SN15
GO:0006367,GO:0006367,4/410,125/100553,0.032,7.848039024390244,4.901971843079471,0.0017902132448394052,0.0087272895685921,0.005370639734518215,TraesCS1D03G0338300.1/TraesCS1D03G0338300.2/TraesCS1D03G0338300.4/TraesCS1D03G0338300.3,4,Down,transcription initiation at RNA polymerase II promoter,biological_process,BP,3KO_vs_SN15
GO:0031408,GO:0031408,4/410,125/100553,0.032,7.848039024390244,4.901971843079471,0.0017902132448394052,0.0087272895685921,0.005370639734518215,TraesCS5B03G0957600.1/TraesCS5D03G0028900.1/TraesCS5D03G0868300.1/TraesCS6B03G0405500.1,4,Down,oxylipin biosynthetic process,biological_process,BP,3KO_vs_SN15
GO:0004143,GO:0004143,3/410,62/100553,0.04838709677419355,11.86699449252557,5.476696745715207,0.0021294060044097568,0.010056359121351879,0.006188528690062695,TraesCS1A03G0610900.1/TraesCS1A03G0610900.3/TraesCS1A03G0610900.2,3,Down,ATP-dependent diacylglycerol kinase activity,molecular_function,MF,3KO_vs_SN15
GO:0051538,GO:0051538,2/410,17/100553,0.11764705882352941,28.853084648493546,7.348757981938599,0.002165985041521943,0.010056359121351879,0.006188528690062695,TraesCS2A03G0267400.1/TraesCS2A03G0267400.2,2,Down,"3 iron, 4 sulfur cluster binding",molecular_function,MF,3KO_vs_SN15
GO:0071949,GO:0071949,6/410,325/100553,0.018461538461538463,4.5277148217636025,4.075844478686174,0.0023309072632940265,0.01057039340331012,0.006504857478960075,TraesCS1B03G1254300.1/TraesCS2B03G0421300.1/TraesCS3A03G0238600.1/TraesCS3B03G0305700.1/TraesCS7B03G1123600.1/TraesCS7B03G1123600.2,6,Down,FAD binding,molecular_function,MF,3KO_vs_SN15
GO:0019252,GO:0019252,3/410,65/100553,0.046153846153846156,11.319287054409006,5.325081472405758,0.002437281641577828,0.010801589093356283,0.006647131749757713,TraesCS1A03G0361500.5/TraesCS1B03G0450400.4/TraesCS1B03G0450400.5,3,Down,starch biosynthetic process,biological_process,BP,3KO_vs_SN15
