GO_ID,GO_Description,GO_Category,Ontology,Suggested_Category,Final_Category,Notes,Final_Category_Split,Final_Category_Full_Split
GO:0009073,aromatic amino acid family biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0004190,aspartic-type endopeptidase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009734,auxin-activated signaling pathway,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0033907,beta-D-fucosidase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004564,beta-fructofuranosidase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0008422,beta-glucosidase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0000493,box H/ACA snoRNP assembly,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0009081,branched-chain amino acid metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0004084,branched-chain-amino-acid transaminase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0010268,brassinosteroid homeostasis,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:1901137,carbohydrate derivative biosynthetic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0015144,carbohydrate transmembrane transporter activity,molecular_function,MF,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0015977,carbon fixation,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016830,carbon-carbon lyase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016884,"carbon-nitrogen ligase activity, with glutamine as amido-N-donor",molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0004089,carbonate dehydratase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0016831,carboxy-lyase activity,molecular_function,MF,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
GO:0046395,carboxylic acid catabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:0019752,carboxylic acid metabolic process,biological_process,BP,Metabolism,Metabolism,NA,Metabolism,Biosynthesis
GO:1905039,carboxylic acid transmembrane transport,biological_process,BP,REVIEW,Metabolism,NA,Metabolism,Biosynthesis
